symbol,company_name,classification,recommended_action,fp_risk_rationale,english_word_match,prod_observed_fp,validated_against_master
DHRUV,Dhruv Consultancy Services Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DHUNINV,Dhunseri Investments Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DIACABS,Diamond Power Infrastructure Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DIAMINESQ,Diamines & Chemicals Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DIAMONDYD,Prataap Snacks Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DICIND,DIC India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DIFFNKG,Diffusion Engineers Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DIGIDRIVE,Digidrive Distributors Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DIGISPICE,DiGiSPICE Technologies Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DIGITIDE,Digitide Solutions Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DIGJAMLMTD,Digjam Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DIL,Debock Industries Limited,symbol_stoplist,drop_bare_symbol_alias,Common Indian proper noun meaning heart (Dil); frequently appears in entertainment/song headlines,N,Y,Y
DISAQ,Disa India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DISHTV,Dish TV India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DIVGIITTS,Divgi Torqtransfer Systems Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DIVISLAB,Divi's Laboratories Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DIXON,Dixon Technologies (India) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DJML,DJ Mediaprint & Logistics Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DLF,DLF Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DLINKINDIA,D-Link (India) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DMART,Avenue Supermarts Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DNAMEDIA,Diligent Media Corporation Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DODLA,Dodla Dairy Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DOLATALGO,Dolat Algotech Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DOLLAR,Dollar Industries Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'dollar' triggers matches in currency exchange or export news,Y,Y,Y
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DOMS,DOMS Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DONEAR,Donear Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DPABHUSHAN,D. P. Abhushan Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DPSCLTD,DPSC Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DPWIRES,D P Wires Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DRAGARWQ,Dr Agarwals Eye Hospital Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DRCSYSTEMS,DRC Systems India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DREAMFOLKS,Dreamfolks Services Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DREDGECORP,Dredging Corporation of India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DRREDDY,Dr. Reddy's Laboratories Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DSFCL,DCM Shriram Fine Chemicals Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DSSL,Dynacons Systems & Solutions Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DTIL,Dhunseri Tea & Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DUCON,Ducon Infratechnologies Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DVL,Dhunseri Ventures Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DWARKESH,Dwarikesh Sugar Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DYCL,Dynamic Cables Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DYNAMATECH,Dynamatic Technologies Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
DYNPRO,Dynemic Products Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
E2E,E2E Networks Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EASEMYTRIP,Easy Trip Planners Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EASTSILK,Eastern Silk Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EBGNG,GNG Electronics Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ECLERX,eClerx Services Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EDELWEISS,Edelweiss Financial Services Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EDUCOMP,Educomp Solutions Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EFCIL,EFC (I) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EICHERMOT,Eicher Motors Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EIDPARRY,EID Parry India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EIEL,Enviro Infra Engineers Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EIFFL,Euro India Fresh Foods Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EIHAHOTELS,EIH Associated Hotels Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EIHOTEL,EIH Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EIMCOELECO,Eimco Elecon (India) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EKC,Everest Kanto Cylinder Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ELANTAS,Elantas Beck India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ELCIDIN,EL CID Investments Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ELDEHSG,Eldeco Housing And Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ELECON,Elecon Engineering Company Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ELECTCAST,Electrosteel Castings Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ELECTHERM,Electrotherm (India) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ELGIEQUIP,Elgi Equipments Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ELGIRUBCO,Elgi Rubber Company Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ELIN,Elin Electronics Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ELITECON,Elitecon International Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ELLEN,Ellenbarrie Industrial Gases Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'ellen' triggers case-insensitive false matches in news,N,N,Y
ELPROINTL,Elpro International Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EMAMILTD,Emami Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EMAMIPAP,Emami Paper Mills Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EMAMIREAL,Emami Realty Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EMBDL,Embassy Developments Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EMCURE,Emcure Pharmaceuticals Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EMIL,Electronics Mart India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EMKAY,Emkay Global Financial Services Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EMMBI,Emmbi Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EMMVEE,Emmvee Photovoltaic Power Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EMPOWER,Empower India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EMSLIMITED,EMS Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EMUDHRA,eMudhra Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ENDURANCE,Endurance Technologies Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ENERGYDEV,Energy Development Company Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ENGINERSIN,Engineers India Limited,alias_drop,drop_alias:Engineers,Single-word Engineers matches generic tech/hiring headlines (e.g. Microsoft redirecting engineers),N,Y,Y
ENIL,Entertainment Network (India) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ENRIN,Siemens Energy India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ENTERO,Entero Healthcare Solutions Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EPACK,EPACK Durable Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EPACKPEB,EPack Prefab Technologies Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EPIGRAL,Epigral Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EPL,EPL Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EQUIPPP,Equippp Social Impact Technologies Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EQUITASBNK,Equitas Small Finance Bank Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ERIS,Eris Lifesciences Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ESABINDIA,Esab India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ESAFSFB,ESAF Small Finance Bank Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ESCORTS,Escorts Kubota Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'escorts' triggers case-insensitive false matches in news,N,N,Y
ESSARSHPNG,Essar Shipping Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ESSENTIA,Integra Essentia Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ESTER,Ester Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ETERNAL,ETERNAL LIMITED,symbol_stoplist,drop_bare_symbol_alias,Common English word 'eternal' triggers case-insensitive false matches in news,N,N,Y
ETHOSLTD,Ethos Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EUREKAFORB,Eureka Forbes Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EUROBOND,Euro Panel Products Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EUROPRATIK,Euro Pratik Sales Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EUROTEXIND,Eurotex Industries and Exports Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EVEREADY,Eveready Industries India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EVERESTIND,Everest Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EXCELINDUS,Excel Industries Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'excelindus' triggers case-insensitive false matches in news,N,N,Y
EXCELSOFT,Excelsoft Technologies Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EXICOM,Exicom Tele-Systems Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EXIDEIND,Exide Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EXPLEOSOL,Expleo Solutions Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
EXXARO,Exxaro Tiles Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FABTECH,Fabtech Technologies Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FACT,Fertilizers and Chemicals Travancore Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'fact' triggers case-insensitive false matches in news,N,N,Y
FAIRCHEMOR,Fairchem Organics Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FAZE3Q,Faze Three Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FCL,Fineotex Chemical Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FCONSUMER,Future Consumer Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FCSSOFT,FCS Software Solutions Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FDC,FDC Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FEDDERSHOL,Fedders Holding Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FEDERALBNK,The Federal Bank  Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FEDFINA,Fedbank Financial Services Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FEL,Future Enterprises Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FELDVR,Future Enterprises Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FERMENTA,Fermenta Biotech Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FIBERWEB,Fiberweb (India) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FIEMIND,Fiem Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FILATEX,Filatex India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FILATFASH,Filatex Fashions Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FINCABLES,Finolex Cables Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FINEORG,Fine Organic Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FINKURVE,Finkurve Financial Services Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FINOPB,Fino Payments Bank Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FINPIPE,Finolex Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FIRSTCRY,Brainbees Solutions Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FISCHER,Fischer Medical Ventures Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FIVESTAR,Five-Star Business Finance Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FLAIR,Flair Writing Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FLEXITUFF,Flexituff Ventures International Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FLFL,Future Lifestyle Fashions Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FLUOROCHEM,Gujarat Fluorochemicals Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FMGOETZE,Federal-Mogul Goetze (India) Limited.,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FMNL,Future Market Networks Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FOCUS,Focus Lighting and Fixtures Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'focus' (noun/verb) triggers false positives in generic diplomatic or security news,Y,Y,Y
FOODSIN,Foods & Inns Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FORCEMOT,FORCE MOTORS LTD,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FORTIS,Fortis Healthcare Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FOSECOIND,Foseco India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FRACTAL,Fractal Analytics Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FRONTSP,Frontier Springs Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FSL,Firstsource Solutions Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
FUSION,Fusion Finance Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'fusion' triggers case-insensitive false matches in news,N,N,Y
GABRIEL,Gabriel India Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'gabriel' triggers case-insensitive false matches in news,N,N,Y
GAEL,Gujarat Ambuja Exports Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GAIL,GAIL (India) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GALAPREC,Gala Precision Engineering Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GALAXYSURF,Galaxy Surfactants Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GALLANTT,Gallantt Ispat Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GANDHAR,Gandhar Oil Refinery (India) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GANDHITUBE,Gandhi Special Tubes Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GANECOS,Ganesha Ecosphere Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GANESHBE,Ganesh Benzoplast Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GANESHCP,Ganesh Consumer Products Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GANESHHOU,GANESH HOUSING LIMITED,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GANGAFORGE,Ganga Forging Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GANGESSECU,Ganges Securities Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GARFIBRES,Garware Technical Fibres Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GARUDA,Garuda Construction and Engineering Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GATECH,GACM Technologies Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GATECHDVR,GACM Technologies Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GATEWAY,Gateway Distriparks Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'gateway' triggers case-insensitive false matches in news,Y,N,Y
GAUDIUMIVF,Gaudium IVF and Women Health Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GAYAHWS,Gayatri Highways Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GAYAPROJ,Gayatri Projects Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GCSL,Gretex Corporate Services Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GEECEE,GeeCee Ventures Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GEEKAYWIRE,Geekay Wires Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GEMAROMA,Gem Aromatics Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GENCON,Generic Engineering Construction and Projects Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GENESYS,Genesys International Corporation Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GENSOL,Gensol Engineering Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GENUSPAPER,Genus Paper & Boards Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GENUSPOWER,Genus Power Infrastructures Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GEOJITFSL,Geojit Financial Services Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GESHIP,The Great Eastern Shipping Company Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GFLLIMITED,GFL Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GFSTEELS,Grand Foundry Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GHCL,GHCL Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GHCLTEXTIL,GHCL Textiles Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GICHSGFIN,GIC Housing Finance Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GICL,Globe International Carriers Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GICRE,General Insurance Corporation of India,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GILLANDERS,Gillanders Arbuthnot & Company Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GILLETTE,Gillette India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GINNIFILA,Ginni Filaments Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GIPCL,Gujarat Industries Power Company Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GKENERGY,GK Energy Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GKSL,Gujarat Kidney And Super Speciality Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GKWLIMITED,GKW Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GLAND,Gland Pharma Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GLENMARK,Glenmark Pharmaceuticals Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GLFL,Gujarat Lease Financing Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GLOBAL,Global Education Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'global' triggers case-insensitive false matches in news,Y,N,Y
GLOBALE,Globale Tessile Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GLOBALVECT,Global Vectra Helicorp Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,symbol_stoplist,drop_bare_symbol_alias,Common English word 'globe' triggers case-insensitive false matches in news,Y,N,Y
GLOBECIVIL,Globe Civil Projects Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GLOBUSSPR,Globus Spirits Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GLOSTERLTD,Gloster Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GLOTTIS,Glottis Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GMBREW,GM Breweries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GMDCLTD,Gujarat Mineral Development Corporation Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GMMPFAUDLR,GMM Pfaudler Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GMRAIRPORT,GMR AIRPORTS LIMITED,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GMRP&UI,GMR Power and Urban Infra Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GNA,GNA Axles Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GNRL,Gujarat Natural Resources Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GOACARBON,Goa Carbon Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GOCLCORP,GOCL Corporation Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GOCOLORS,Go Fashion (India) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GODAVARIB,Godavari Biorefineries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GODFRYPHLP,Godfrey Phillips India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GODIGIT,Go Digit General Insurance Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GODREJAGRO,Godrej Agrovet Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GODREJCP,Godrej Consumer Products Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GODREJIND,Godrej Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GODREJPROP,Godrej Properties Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GOKEX,Gokaldas Exports Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GOKUL,Gokul Refoils and Solvent Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GOKULAGRO,Gokul Agro Resources Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GOLDENTOBC,Golden Tobacco Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GOLDIAM,Goldiam International Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GOLDTECH,AION-TECH SOLUTIONS LIMITED,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GOODLUCK,Goodluck India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GOODYEAR,Goodyear India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GOPAL,Gopal Snacks Limited,symbol_stoplist,drop_bare_symbol_alias,Common Indian proper name/noun 'gopal' triggers matches in general news,N,N,Y
GOYALALUM,Goyal Aluminiums Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GPIL,Godawari Power And Ispat limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GPPL,Gujarat Pipavav Port Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GPTHEALTH,GPT Healthcare Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GPTINFRA,GPT Infraprojects Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GRADIENTE,Gradiente Infotainment Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GRANDOAK,Grand Oak Canyons Distillery Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GRANULES,Granules India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GRAPHITE,Graphite India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GRASIM,Grasim Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GRAUWEIL,Grauer & Weil India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GRAVISSHO,Graviss Hospitality Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
GRAVITA,Gravita India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
